Number,File_name,NOA,NOAC,Edges,Diameter,CW,DeltaSJX,CNC,dC_avg,dC_max,Separability,Sequentiality,Depth,CH,CFC,CYC,TS,FI,FO,F_in,F_out,F_(I+O),PL,PV,PD, DFC,IC,OC,Ma,Mb,Ms,Me,output redundancy,output lost,input missing,nonportable,partially_portable
86,AsyncSleepService,4,5,3,4,6,0.25,0.75,0,0,1,1,1,0,4,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.5,1,0.555555556,0,0,0,1,0
87,AsyncSubProcess,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,1,1,1,0,0,0,0,0
88,AutoLoanFlow,23,34,26,23,40,0.043,1.04,4,4,0.87,0.692,3,0,29,0,0,1,3,19,22,41,47.774,203.158,5.125,0.917,1,0.917,0.962962963,0.482758621,1,0.588505747,1,0,0,1,0
89,AxisFlow,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.916666667,0.897959184,0.955555556,0.965986395,0,0,0,1,0
90,BankTransferFlow,7,9,6,7,12,0.143,0.857,0,0,1,1,2,0,7,0,0,1,2,5,6,11,15.51,36.496,0.917,0.667,1,0.667,0.994152047,0.970588235,1,0.996732026,1,0,0,0,0
91,BatchOrderProcessing,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.962962963,0.939393939,0.962962963,0.986531987,0,0,0,0,1
92,BusinessTravelProcess,11,16,16,14,25,0.076,1.067,3,3,0.538,0.313,3,0.5,25,0,2,1,3,11,8,19,24.406,79.726,4.071,1,1,1,1,0.954545455,1,0.95959596,0,0,0,1,0
93,Buyer,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,2,2,4,2,7.925,1,1,1,1,0.985507246,0.9,1,0.935185185,0,0,0,1,0
94,CobolCopyBook,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.974537037,0.902857143,1,0.952380952,0,0,0,1,0
95,CreditRatingService,5,9,7,5,13,0.167,1,3,3,0.2,0.286,3,0,9,0,0,1,0,3,3,6,6.755,23.219,2,1,1,1,0.888888889,0.384937238,0.930555556,0.50209205,0,0,0,1,0
96,CRMService,4,8,6,4,12,0.2,1,3,3,0,0.333,3,0,12,0,0,2,0,2,4,6,6.755,23.219,2,0.667,1,0.667,0.841880342,0.271777003,0.944444444,0.365079365,1,0,0,1,0
97,DB_MasterDetail,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.83127572,0.304216867,0.944444444,0.398594378,0,0,0,1,0
98,Debatching,4,6,6,5,9,0.2,1,3,3,0.5,0,2,0,6,0,0,1,0,3,3,6,4,16,3,1,1,1,1,0.766666667,1,0.792592593,0,0,0,1,0
99,DetailSecuredProcess,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.989010989,1,0.99023199,0,0,0,1,0
100,DirectSQLPerformance,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,3,2,5,4.755,12,0.833,0.667,0.667,1,0.913580247,0.90625,0.833333333,0.975694444,0,0,1,0,1
101,DocumentReview,9,16,12,9,20,0.109,1.091,4,4,0.667,0.333,3,0,15,0,0,1,1,7,9,16,16.365,69,4.8,0.8,1,0.8,1,0.954545455,1,0.95959596,1,1,1,1,0
102,DynamicPartnerLink,9,11,12,9,15,0.109,1.091,4,4,0.667,0.333,2,0,15,0,0,1,1,5,4,9,10,28.435,2.25,1,1,1,0.934156379,0.873205742,0.955555556,0.984582669,0,0,0,0,1
103,DynamicSyncRead,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,11.61,23.265,0.8,0.6,0.6,0.75,0.925925926,0.855,0.955555556,0.980833333,0,0,1,0,1
104,DynPL_JNDI,13,14,12,13,18,0.077,0.923,0,0,1,1,1,0,13,0,0,1,3,5,2,7,2,12.68,1.75,1,1,1,1,0.9375,1,0.944444444,0,0,0,1,0
105,DynPL_NonMng,10,11,9,10,14,0.1,0.9,0,0,1,1,1,0,10,0,0,1,2,4,2,6,2,11.095,1.5,1,1,1,1,0.76744186,1,0.793281654,0,0,0,1,0
106,Employee,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,1,2,3,2,6.34,0.75,0.5,1,0.5,1,0.833333333,1,0.851851852,1,0,0,1,0
107,Emulations,8,9,7,8,12,0.125,0.875,0,0,1,1,1,0,8,0,0,1,2,6,6,12,15.51,36.496,1,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
108,ExpenseRequest,16,25,19,16,30,0.062,1.056,4,4,0.813,0.579,3,0,22,0,0,1,2,15,19,34,47.774,167.996,4.25,0.75,0.818,0.9,0.965259833,0.957777778,1,0.981481481,1,0,1,1,0
109,ExternalCalls,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.952380952,0.895238095,1,0.935449735,0,0,0,1,0
110,File2AQBLOB,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.957671958,0.895833333,1,0.930555556,0,0,0,1,0
111,File2StoredProcedure,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.975,0.925581395,1,0.947803618,0,0,0,1,0
112,FlakyPriceProvider,6,10,8,6,14,0.143,1,3,3,0.333,0.375,3,0,10,0,0,1,0,4,4,8,10,31.02,2,1,1,1,0.972746331,0.878151261,1,0.904295051,0,0,0,1,0
113,FlatStructure,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.981981982,0.908571429,1,0.927619048,0,0,0,1,0
114,FreeShippingPriceProvider,9,13,11,10,17,0.1,1,3,3,0.778,0.455,2,0,11,0,0,1,1,4,8,12,16.365,48,3.6,0.6,1,0.6,1,0.441860465,1,0.503875969,1,0,0,1,0
115,FTPDebatching,4,6,6,5,9,0.2,1,3,3,0.5,0,2,0,6,0,0,1,0,3,3,6,4,16,3,1,1,1,1,0.947368421,1,0.953216374,0,0,0,1,0
116,FulFillOrders,6,10,8,8,14,0.143,1,0,0,0.667,0.75,3,0,8,0.25,0,1,1,5,4,9,12.755,36.496,3.375,0.75,0.75,1,0.935672515,0.828282828,0.805555556,0.861952862,0,0,1,1,0
117,GoogleFlowWithSensors,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.954954955,0.872611465,0.87037037,0.904458599,0,0,0,1,0
118,HelpDeskServiceRequest,17,37,29,22,52,0.041,1.074,2.6,4,0.36,0.207,8,0.361,41,0,2,1,3,15,13,28,27.651,166.053,8,0.714,1,0.714,0.997222222,0.959016393,1,0.969945355,1,0,0,1,0
119,HotwireClient,10,17,12,11,23,0.091,1,3,3,0.8,0.5,2,0,12,0,0,1,3,7,5,12,24.406,63.117,2.571,0.714,0.714,1,0.924731183,0.863013699,0.939393939,0.98173516,0,0,1,0,1
120,HTTPGetService,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.98989899,0.426829268,1,0.5,0,0,0,1,0
121,HTTPPostService,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.980582524,0.459793814,1,0.548682703,0,0,0,1,0
122,IncrementService,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.97979798,0.810810811,1,0.873873874,0,0,0,1,0
123,InsertWithCatch,4,7,3,4,9,0.25,0.75,0,0,1,1,2,0,4,0,0,1,1,3,2,5,6.755,18.575,1.667,0.667,0.667,1,0.98989899,0.891304348,1,0.920289855,0,0,1,1,0
124,InsertWithClobs,9,10,8,9,14,0.111,0.889,0,0,1,1,1,0,9,0,0,1,3,8,7,15,19.651,48,1.071,1,1,1,0.972222222,0.913793103,1,0.948275862,0,0,0,1,0
125,InstanceManager,3,8,6,3,13,0.3,1.2,4,4,0,0,3,0,21,0,0,3,0,3,3,12,17.51,33,1,1,1,1,0.952380952,0.931818182,0.916666667,0.988636364,0,0,0,0,1
126,LoanBroker,6,7,5,6,9,0.167,0.833,0,0,1,1,1,0,6,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.981481481,0.857142857,1,0.898809524,0,0,0,1,0
127,LoanValidator,5,9,7,5,13,0.167,1,3,3,0.2,0.286,3,0,9,0,0,1,2,4,3,7,6.755,25.541,2.333,1,1,1,0.99382716,0.942857143,1,0.971428571,0,0,0,1,0
128,mandel,10,16,18,16,23,0.075,1.125,0,0,0.357,0.667,6,0,29,0.563,0,1,0,38,19,57,40.054,233.128,5.182,1,1,1,0.960784314,0.888888889,0.977777778,0.962962963,1,0,0,1,0
129,MasterSecuredProcess,6,7,5,6,9,0.167,0.833,0,0,1,1,1,0,6,0,0,1,1,4,4,8,8,20.897,1,1,1,1,1,0.928571429,1,0.936507937,0,0,0,1,0
130,MulticonsumerInbound,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,8,11.61,0.5,0.5,0.667,0.667,1,0.952380952,1,0.957671958,1,0,1,1,0
131,MulticonsumerOutbound,7,13,13,8,21,0.083,1,2.333,3,0.091,0,4,0,13,0,0,1,2,7,6,13,13.61,53.34,2.6,0.833,1,0.833,0.952777778,0.367346939,0.871794872,0.476643991,1,0,1,1,0
132,MultiTablesPerformance,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,3,2,5,4.755,12,0.833,0.667,0.667,1,1,0.833333333,1,0.851851852,0,0,1,1,0
133,NativeSequencingInsert,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
134,OpaqueWithHeaders,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,3,3,6,8,16.253,0.75,1,1,1,0.944444444,0.941935484,0.875,0.989964158,0,0,0,0,1
135,OrderApproval,13,20,16,11,24,0.076,1.067,4,4,0.538,0.5,3,0,25,0,0,1,1,8,12,20,16.365,81,6,0.8,1,0.8,0.973333333,0.868131868,1,0.914529915,1,0,0,1,0
136,OrderBooking,26,39,31,29,51,0.036,1.033,3,3,0.714,0.645,3,0.5,58,0,2,1,6,25,20,45,61.303,241.856,6.429,0.857,1,0.857,1,0.842105263,1,0.859649123,1,0,0,1,0
137,PaymentProcessorService,15,25,20,16,33,0.058,1.053,3,3,0.529,0.45,3,0,23,0,0,1,4,13,10,23,28.755,114.161,4.313,1,1,1,0.944444444,0.348837209,1,0.465116279,1,0,0,1,0
138,POAcknowledge,7,10,6,7,13,0.143,0.857,0,0,1,1,2,0,7,0,0,1,2,6,5,11,13.61,39.303,2.2,0.8,1,0.8,0.984126984,0.365079365,0.925925926,0.445326279,1,0,0,1,0
139,PriceFinder,10,17,15,13,25,0.082,1.071,3,3,0.333,0.267,4,0.5,42,0,2,1,2,10,8,18,27.651,86.486,5.143,1,1,1,1,0.947368421,1,0.953216374,0,0,0,1,0
140,Queue2Topic,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.95,1,0.955555556,0,0,0,1,0
141,QuoteConsumer,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.957264957,0.880597015,1,0.912106136,0,0,0,1,0
142,RawQueuePayloadUsingNativeFormat,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,3,3,6,8,16.253,0.75,0.5,0.667,0.667,0.972222222,0.76,0.925925926,0.813333333,1,0,1,1,0
143,RefCursor,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,1,1,1,1,0,0,0,0,0
144,ResilientFlow,6,9,5,6,12,0.167,0.833,0,0,1,1,2,0,6,0,0,1,2,5,5,10,17.51,39,1.667,0.5,0.75,0.6,1,0.952380952,1,0.957671958,1,0,1,1,0
145,ResultSetConverter,4,5,3,4,7,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,3,3,6,4.755,14,1,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
146,RuleBasedSubscription_Header,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,3,3,6,8,16.253,0.75,1,1,1,1,0.9375,1,0.944444444,0,0,0,1,0
147,RuleBasedSubscription_Payload,4,5,3,4,6,0.25,0.75,0,0,1,1,1,0,4,0,0,1,0,3,3,6,4.755,14,1,0.667,0.667,1,0.912698413,0.823529412,0.805555556,0.860130719,0,0,1,1,0
148,SalesforceFlow,10,14,14,9,19,0.106,1.167,5,5,0.6,0.286,3,0,22,0,0,1,2,12,11,23,28.755,93.405,4.313,1,1,1,0.962962963,0.791666667,1,0.834876543,0,0,0,1,0
149,SecuredCreditRatingService,5,9,7,5,13,0.167,1,3,3,0.2,0.286,3,0,9,0,0,1,0,3,3,6,6.755,23.219,2,1,1,1,0.897435897,0.84,0.888888889,0.971111111,0,0,0,0,1
150,SelectAll,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.897435897,0.851851852,0.833333333,0.973251029,0,0,0,0,1
151,SelectAllByTitle,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,1,0.952380952,1,0.957671958,0,0,0,1,0
152,SelectManufacturer,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,1,0.947368421,1,0.953216374,0,0,0,1,0
153,SelectManufacturing,9,15,11,10,19,0.1,1,3,3,0.778,0.455,3,0,11,0,0,1,1,4,8,12,16.365,54,3.6,0.6,1,0.6,0.975308642,0.870967742,1,0.906810036,1,0,0,1,0
154,SendEmailWithAttachments,4,7,3,4,9,0.25,0.75,0,0,1,1,2,0,4,0,0,1,1,3,3,6,10,23.265,1.5,0.5,0.667,0.667,0.954415954,0.844776119,0.951388889,0.891210614,1,0,1,1,0
155,Simple_XMLType_Payload,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,3,3,6,8,16.253,0.75,1,1,1,0.9,0.9,1,0.966666667,0,0,0,0,1
156,SleepBroker,6,10,6,7,14,0.143,0.857,0,0,1,1,1,0,13,0,0,1,0,1,4,5,2,4.755,0.5,0.667,0.667,1,0.888888889,0.865384615,1,0.963675214,0,0,0,0,1
157,SOAOrderBooking,42,74,55,48,97,0.021,1.058,2.8,4,0.6,0.527,6,0.361,72,0,2,1,11,37,31,68,130.211,490.689,5.231,0.846,0.917,0.917,0.927350427,0.898989899,1,0.968574635,1,1,1,0,1
158,StarLoan,12,20,18,13,26,0.075,1.125,3.5,4,0.643,0.278,3,0,20,0,0,1,1,12,12,24,20.265,101.438,6,0.833,1,0.833,0.944444444,0.911290323,1,0.974014337,1,0,0,0,1
159,SyncSubProcess,3,4,2,3,5,0.333,0.667,0,0,1,1,1,0,3,0,0,1,0,2,2,4,2,7.925,1,1,1,1,0.932098765,0.795081967,0.805555556,0.829690346,0,0,0,1,0
160,TerraFlow,5,6,4,5,8,0.2,0.8,0,0,1,1,1,0,5,0,0,1,1,4,4,8,8,20.897,1,1,1,1,0.948287911,0.895266868,0.929292929,0.982768267,0,0,0,0,1
161,TransferService,4,8,6,4,12,0.2,1,3,3,0,0.333,3,0,12,0,0,2,0,2,4,6,10,25.85,1.5,0.5,1,0.5,0.945367294,0.884491979,0.929292929,0.981224005,1,0,0,0,1
162,VacationRequest,9,16,12,9,20,0.109,1.091,4,4,0.667,0.333,3,0,15,0,0,1,1,7,8,15,16.365,66,4.5,0.6,0.75,0.75,0.945009416,0.886792453,0.925925926,0.981255395,1,0,1,0,1
163,WorklistManager,5,12,10,3,19,0.238,1.429,6,6,0,0,3,0,155,0,0,5,0,5,5,10,17.51,51,1.667,0.833,0.833,1,1,0.923076923,1,0.931623932,0,0,1,1,0
164,WorkshopFlow,6,7,5,6,9,0.167,0.833,0,0,1,1,1,0,6,0,0,1,1,4,5,9,11.61,25.85,0.9,0.8,1,0.8,0.886243386,0.83490566,0.877777778,0.977463312,1,0,0,0,1
165,XAInsert,6,7,5,6,10,0.167,0.833,0,0,1,1,1,0,6,0,0,1,2,5,3,8,8,20.897,1,0.75,0.75,1,1,0.952380952,1,0.957671958,0,0,1,1,0
166,XPath,13,16,12,13,17,0.077,0.923,0,0,1,1,2,0,13,0,0,1,0,14,12,26,30.529,100.324,2.889,0.778,1,0.778,0.990740741,0.944444444,1,0.965020576,1,1,0,1,0
167,EstimationProcess,12,16,21,16,21,0.115,1.5,10,10,0,0.143,2,0,12,0,9,1,1,9,5,14,24.406,59.795,3,0.857,0.857,1,0.910901468,0.895522388,0.708333333,0.971531233,0,0,1,1,0
168,Synchronous1,105,196,245,136,251,0.008,1.369,3.839,12,0.079,0.106,16,0.229,1688797,0.274,9,1,5,119,112,231,262.643,1826.521,15.4,0.978,1,0.978,0.880503145,0.815555556,0.708333333,0.964444444,1,1,0,1,0
169,Synchronous2,101,190,238,132,242,0.008,1.376,3.839,12,0.129,0.088,15,0.229,105558,0.283,9,1,4,117,106,223,241.987,1742.508,15.929,0.976,1,0.976,1,0.958333333,1,0.962962963,1,1,0,1,0
170,Synchronous,109,213,274,156,277,0.007,1.363,3.525,12,0.055,0.084,17,0.192,648975,0.905,9,1,5,134,120,254,283.588,2060.25,15.875,0.979,1,0.979,0.914285714,0.88,0.753968254,0.965555556,1,1,0,1,0
171,purchaseOrderProcess,10,15,13,12,24,0.098,1.083,4,4,0.2,0.385,3,0,50,0,3,0,5,7,5,12,13.61,47.725,2.4,1,1,1,0.936507937,0.826086957,1,0.980676329,0,0,0,0,0
172,ReservationSystem,16,25,32,22,41,0.049,1.231,3.4,4,0.25,0.156,4,0.485,94,0,6,1,3,11,18,29,42.809,144.679,3.955,1,1,1,0.918518519,0.802325581,0.805555556,0.841085271,0,0,1,1,0
173,shippingService,7,13,12,10,17,0.109,1.091,3,3,0.333,0.417,5,0,15,0.182,0,1,0,10,6,16,9.51,56.869,8,1,1,1,0.942222222,0.896825397,0.844444444,0.925044092,0,0,0,1,0
174,squaresSum1,7,14,12,15,19,0.109,1.091,0,0,0.556,0.667,3,0,11,0,0,1,0,9,8,17,16.365,72,5.1,1,1,1,1,0.553191489,1,0.602836879,0,0,0,1,0
175,squaresSum2,13,26,18,24,31,0.066,1.059,0,0,0.533,0.778,4,0,20,0,0,1,0,20,16,36,28.755,169.512,6.75,1,1,1,0.974747475,0.897959184,1,0.988662132,0,0,0,0,0
176,squaresSum3,16,34,29,32,43,0.045,1.115,2.5,3,0.417,0.483,5,0,30,0.154,0,1,0,34,19,53,40.139,270.322,14.722,1,1,1,1,0.956521739,1,0.961352657,1,0,0,1,0
177,tradeIncome,34,66,70,35,89,0.021,1.207,3.111,6,0.232,0.171,6,0.612,240,0.172,7,3,2,57,37,94,94.71,585.126,18.278,0.944,1,0.944,1,0.88,1,0.893333333,1,1,0,1,0
178,tradeIngress,34,66,70,35,89,0.021,1.207,3.111,6,0.232,0.171,6,0.612,240,0.172,7,3,2,57,40,97,100.362,606.357,17.868,0.895,1,0.895,0.993055556,0.79787234,1,0.828605201,1,1,0,1,0
